02:00:01.682666 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:01.691268 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:02.365333 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:02.373934 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:03.048000 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:03.056601 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:03.730666 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:03.739268 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:04.413333 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:04.421934 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:05.096000 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:05.104601 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:05.778666 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:05.787268 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:06.461333 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:06.469934 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:07.144000 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:07.152601 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:07.826666 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:07.835268 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:08.509333 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:08.517934 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:09.192000 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:09.200601 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:09.874666 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:09.883268 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:01.685533 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:01.688401 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:02.368200 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:02.371067 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:03.050867 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:03.053734 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:03.733533 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:03.736401 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:04.416200 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:04.419067 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
02:00:05.098867 IP 10.1.1.1.49153 > _gateway.discard: UDP, length 512
02:00:05.101734 IP 10.1.3.2.49153 > 172.16.1.1.10: UDP, length 512
